"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
2,500000,6,0,1,0,5280,282457431,5280,330495925,5280,283047420,5280,330202224
2,500000,6,0,1,1,5280,282457431,5280,330495925,5280,283047417,5280,326152750
2,500000,6,0,1,2,5280,282457431,5280,330495925,5280,282977545,5280,327978884
2,500000,6,0,1,3,5280,282457431,5280,330495925,5280,283067362,5280,330354150
2,500000,6,0,1,4,5280,282457431,5280,330495925,5280,283118174,5280,328502142
2,500000,6,0,1,5,5280,282457431,5280,330495925,5280,283089813,5280,325916223
2,500000,6,0,2,0,5280,397062332,5280,438459877,5280,399311291,5280,431602314
2,500000,6,0,2,1,5280,397062332,5280,438459877,5280,397145935,5280,399253260
2,500000,6,0,2,2,5280,397062332,5280,438459877,5280,399262288,5280,435514228
2,500000,6,0,2,3,5280,397062332,5280,438459877,5280,399336539,5280,438429502
2,500000,6,0,2,4,5280,397062332,5280,438459877,5280,399423730,5280,438424000
2,500000,6,0,2,5,5280,397062332,5280,438459877,5280,399605151,5280,433682811
2,500000,6,0,3,0,5280,505333599,5280,551486795,5280,506200401,5280,549411541
2,500000,6,0,3,1,5280,505333599,5280,551486795,5280,506169451,5280,547275993
2,500000,6,0,3,2,5280,505333599,5280,551486795,5280,505419418,5280,545802505
2,500000,6,0,3,3,5280,505333599,5280,551486795,5280,506215630,5280,551347012
2,500000,6,0,3,4,5280,505333599,5280,551486795,5280,506270745,5280,551461448
2,500000,6,0,3,5,5280,505333599,5280,551486795,5280,506254796,5280,546542248
