"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
"seq","decreasing",16777216,123456,1,"parallel",1,2901.959391
"seq","decreasing",16777216,123456,1,"parallel",2,2844.675838
"seq","decreasing",16777216,123456,1,"drake",1,6802.986605
"seq","decreasing",16777216,123456,1,"drake",2,6799.136202
"seq","constant",1048576,123456,1,"parallel",1,5.303012
"seq","constant",1048576,123456,1,"parallel",2,5.965917
"seq","constant",1048576,123456,1,"drake",1,269.243202
"seq","constant",1048576,123456,1,"drake",2,283.784921
"seq","constant",4194304,123456,1,"parallel",1,21.790626
"seq","constant",4194304,123456,1,"parallel",2,21.788848
"seq","constant",4194304,123456,1,"drake",1,1062.498030
"seq","constant",4194304,123456,1,"drake",2,1060.600717
"seq","constant",16777216,123456,1,"parallel",1,87.060346
"seq","constant",16777216,123456,1,"parallel",2,86.672697
"seq","constant",16777216,123456,1,"drake",1,3961.930493
"seq","constant",16777216,123456,1,"drake",2,3959.571974
"2","uniform-random",1048576,123456,1,"parallel",1,346.870630
"2","uniform-random",1048576,123456,1,"parallel",2,343.979013
"2","uniform-random",1048576,123456,1,"drake",1,366.454890
"2","uniform-random",1048576,123456,1,"drake",2,355.872804
"2","uniform-random",1048576,123456,2,"parallel",1,344.666245
"2","uniform-random",1048576,123456,2,"parallel",2,349.756154
"2","uniform-random",1048576,123456,2,"drake",1,360.916815
"2","uniform-random",1048576,123456,2,"drake",2,351.608902
"2","uniform-random",4194304,123456,1,"parallel",1,1423.227247
"2","uniform-random",4194304,123456,1,"parallel",2,1418.150822
"2","uniform-random",4194304,123456,1,"drake",1,1428.442431
"2","uniform-random",4194304,123456,1,"drake",2,1444.183663
"2","uniform-random",4194304,123456,2,"parallel",1,1424.263160
"2","uniform-random",4194304,123456,2,"parallel",2,1423.566894
"2","uniform-random",4194304,123456,2,"drake",1,1428.029368
"2","uniform-random",4194304,123456,2,"drake",2,1439.666233
"2","uniform-random",16777216,123456,1,"parallel",1,5685.319427
"2","uniform-random",16777216,123456,1,"parallel",2,5695.187878
"2","uniform-random",16777216,123456,1,"drake",1,5407.111226
"2","uniform-random",16777216,123456,1,"drake",2,5389.570812
"2","uniform-random",16777216,123456,2,"parallel",1,5727.704837
"2","uniform-random",16777216,123456,2,"parallel",2,5719.448657
"2","uniform-random",16777216,123456,2,"drake",1,5389.638432
"2","uniform-random",16777216,123456,2,"drake",2,5433.560962
"2","increasing",1048576,123456,1,"parallel",1,219.998539
"2","increasing",1048576,123456,1,"parallel",2,218.346738
"2","increasing",1048576,123456,1,"drake",1,294.576898
"2","increasing",1048576,123456,1,"drake",2,291.208662
"2","increasing",4194304,123456,1,"parallel",1,865.888580
"2","increasing",4194304,123456,1,"parallel",2,883.841369
"2","increasing",4194304,123456,1,"drake",1,1257.885924
"2","increasing",4194304,123456,1,"drake",2,1166.808417
"2","increasing",16777216,123456,1,"parallel",1,3426.098229
"2","increasing",16777216,123456,1,"parallel",2,3610.951394
"2","increasing",16777216,123456,1,"drake",1,4466.448433
"2","increasing",16777216,123456,1,"drake",2,4482.824393
"2","decreasing",1048576,123456,1,"parallel",1,221.026430
"2","decreasing",1048576,123456,1,"parallel",2,215.680711
"2","decreasing",1048576,123456,1,"drake",1,295.976268
"2","decreasing",1048576,123456,1,"drake",2,305.337289
"2","decreasing",4194304,123456,1,"parallel",1,872.320213
"2","decreasing",4194304,123456,1,"parallel",2,868.861729
"2","decreasing",4194304,123456,1,"drake",1,1176.892151
"2","decreasing",4194304,123456,1,"drake",2,1174.891035
"2","decreasing",16777216,123456,1,"parallel",1,3625.185519
"2","decreasing",16777216,123456,1,"parallel",2,3625.470410
"2","decreasing",16777216,123456,1,"drake",2,4508.405235
"2","constant",1048576,123456,1,"parallel",1,33.505908
"2","constant",1048576,123456,1,"parallel",2,34.249761
"2","constant",1048576,123456,1,"drake",1,201.836536
"2","constant",1048576,123456,1,"drake",2,209.122061
"2","constant",4194304,123456,1,"parallel",1,112.601274
"2","constant",4194304,123456,1,"parallel",2,112.144977
"2","constant",4194304,123456,1,"drake",1,803.203768
"2","constant",4194304,123456,1,"drake",2,887.054671
