"maxiter","width","height","lower_r","upper_r","lower_i","upper_i","nb_thread","loadbalance","try","thread","thread_start_time_sec","thread_start_time_nsec","thread_stop_time_sec","thread_stop_time_nsec","global_start_time_sec","global_start_time_nsec","global_stop_time_sec","global_stop_time_nsec"
256,500,375,-2,0.6,-1,1,3,2,6,3,38290,666257414,38290,666257554,38290,666053344,38290,833538512
256,500,375,-2,0.6,-1,1,3,2,7,1,38290,909994275,38291,73729230,38290,909756384,38291,73812515
256,500,375,-2,0.6,-1,1,3,2,7,2,38290,909921629,38290,909921742,38290,909756384,38291,73812515
256,500,375,-2,0.6,-1,1,3,2,7,3,38290,909984368,38290,909984508,38290,909756384,38291,73812515
256,500,375,-2,0.6,-1,1,3,2,8,1,38291,156034940,38291,322496684,38291,155848577,38291,322583750
256,500,375,-2,0.6,-1,1,3,2,8,2,38291,156069409,38291,156069529,38291,155848577,38291,322583750
256,500,375,-2,0.6,-1,1,3,2,8,3,38291,156103332,38291,156103452,38291,155848577,38291,322583750
256,500,375,-2,0.6,-1,1,3,2,9,1,38291,403566969,38291,570264649,38291,403375891,38291,570348144
256,500,375,-2,0.6,-1,1,3,2,9,2,38291,403533578,38291,403533758,38291,403375891,38291,570348144
256,500,375,-2,0.6,-1,1,3,2,9,3,38291,403606790,38291,403606923,38291,403375891,38291,570348144
256,500,375,-2,0.6,-1,1,3,2,10,1,38291,648704942,38291,816630962,38291,648499183,38291,816714413
256,500,375,-2,0.6,-1,1,3,2,10,2,38291,648806037,38291,648806149,38291,648499183,38291,816714413
256,500,375,-2,0.6,-1,1,3,2,10,3,38291,648800071,38291,648800188,38291,648499183,38291,816714413
256,500,375,-2,0.6,-1,1,4,0,1,1,38291,909853459,38291,930765636,38291,909635077,38291,978483167
256,500,375,-2,0.6,-1,1,4,0,1,2,38291,909854613,38291,977743781,38291,909635077,38291,978483167
256,500,375,-2,0.6,-1,1,4,0,1,3,38291,909890946,38291,978381465,38291,909635077,38291,978483167
256,500,375,-2,0.6,-1,1,4,0,1,4,38291,909814999,38291,931675204,38291,909635077,38291,978483167
256,500,375,-2,0.6,-1,1,4,0,2,1,38292,61852044,38292,84513652,38292,61546745,38292,132265758
256,500,375,-2,0.6,-1,1,4,0,2,2,38292,61891373,38292,131305929,38292,61546745,38292,132265758
256,500,375,-2,0.6,-1,1,4,0,2,3,38292,61923044,38292,132165672,38292,61546745,38292,132265758
256,500,375,-2,0.6,-1,1,4,0,2,4,38292,61929040,38292,85443341,38292,61546745,38292,132265758
256,500,375,-2,0.6,-1,1,4,0,3,1,38292,216846727,38292,239373558,38292,216542689,38292,287059536
256,500,375,-2,0.6,-1,1,4,0,3,2,38292,216785264,38292,286045335,38292,216542689,38292,287059536
256,500,375,-2,0.6,-1,1,4,0,3,3,38292,216854820,38292,286958749,38292,216542689,38292,287059536
256,500,375,-2,0.6,-1,1,4,0,3,4,38292,216849885,38292,240255145,38292,216542689,38292,287059536
256,500,375,-2,0.6,-1,1,4,0,4,1,38292,373255018,38292,395927105,38292,373007182,38292,443618004
256,500,375,-2,0.6,-1,1,4,0,4,2,38292,373344027,38292,442710666,38292,373007182,38292,443618004
256,500,375,-2,0.6,-1,1,4,0,4,3,38292,373329053,38292,443531503,38292,373007182,38292,443618004
256,500,375,-2,0.6,-1,1,4,0,4,4,38292,373328017,38292,396866665,38292,373007182,38292,443618004
256,500,375,-2,0.6,-1,1,4,0,5,1,38292,523964765,38292,543985326,38292,523716845,38292,591648620
256,500,375,-2,0.6,-1,1,4,0,5,2,38292,523998173,38292,590746663,38292,523716845,38292,591648620
256,500,375,-2,0.6,-1,1,4,0,5,3,38292,523963096,38292,591549600,38292,523716845,38292,591648620
256,500,375,-2,0.6,-1,1,4,0,5,4,38292,524033866,38292,544916937,38292,523716845,38292,591648620
256,500,375,-2,0.6,-1,1,4,0,6,1,38292,673228782,38292,695737278,38292,672913200,38292,743373774
256,500,375,-2,0.6,-1,1,4,0,6,2,38292,673221094,38292,742552140,38292,672913200,38292,743373774
256,500,375,-2,0.6,-1,1,4,0,6,3,38292,673151374,38292,743290176,38292,672913200,38292,743373774
256,500,375,-2,0.6,-1,1,4,0,6,4,38292,673145723,38292,696614548,38292,672913200,38292,743373774
256,500,375,-2,0.6,-1,1,4,0,7,1,38292,833532838,38292,854593001,38292,833179814,38292,902313752
256,500,375,-2,0.6,-1,1,4,0,7,2,38292,833461521,38292,901364102,38292,833179814,38292,902313752
256,500,375,-2,0.6,-1,1,4,0,7,3,38292,833535028,38292,902208462,38292,833179814,38292,902313752
256,500,375,-2,0.6,-1,1,4,0,7,4,38292,833531016,38292,855507879,38292,833179814,38292,902313752
256,500,375,-2,0.6,-1,1,4,0,8,1,38292,987208747,38293,9288013,38292,986938251,38293,56947538
256,500,375,-2,0.6,-1,1,4,0,8,2,38292,987240075,38293,56013634,38292,986938251,38293,56947538
256,500,375,-2,0.6,-1,1,4,0,8,3,38292,987245571,38293,56866800,38292,986938251,38293,56947538
256,500,375,-2,0.6,-1,1,4,0,8,4,38292,987209991,38293,10164784,38292,986938251,38293,56947538
256,500,375,-2,0.6,-1,1,4,0,9,1,38293,142884784,38293,164715661,38293,142674635,38293,212414034
256,500,375,-2,0.6,-1,1,4,0,9,2,38293,142964737,38293,211475353,38293,142674635,38293,212414034
256,500,375,-2,0.6,-1,1,4,0,9,3,38293,142960093,38293,212314415,38293,142674635,38293,212414034
256,500,375,-2,0.6,-1,1,4,0,9,4,38293,142915619,38293,165612430,38293,142674635,38293,212414034
256,500,375,-2,0.6,-1,1,4,0,10,1,38293,299457873,38293,321284687,38293,299274080,38293,368993232
256,500,375,-2,0.6,-1,1,4,0,10,2,38293,299539671,38293,368030101,38293,299274080,38293,368993232
256,500,375,-2,0.6,-1,1,4,0,10,3,38293,299527381,38293,368893253,38293,299274080,38293,368993232
256,500,375,-2,0.6,-1,1,4,0,10,4,38293,299495230,38293,322194125,38293,299274080,38293,368993232
256,500,375,-2,0.6,-1,1,4,2,1,1,38294,363967199,38294,528764579,38294,363753142,38294,528849759
256,500,375,-2,0.6,-1,1,4,2,1,2,38294,363964381,38294,363964494,38294,363753142,38294,528849759
256,500,375,-2,0.6,-1,1,4,2,1,3,38294,364021260,38294,364021392,38294,363753142,38294,528849759
256,500,375,-2,0.6,-1,1,4,2,1,4,38294,363927853,38294,363928008,38294,363753142,38294,528849759
256,500,375,-2,0.6,-1,1,4,2,2,1,38294,619919669,38294,787598929,38294,619597265,38294,787684147
256,500,375,-2,0.6,-1,1,4,2,2,2,38294,619855115,38294,619855296,38294,619597265,38294,787684147
256,500,375,-2,0.6,-1,1,4,2,2,3,38294,619928120,38294,619928255,38294,619597265,38294,787684147
